question,choices,answer
"She was found guilty of neglect , the judge taking away the child was a serious what ?",notice|taking care|good|regard|consideration,consideration
Where do you typically buy leather jackets ?,car seats|grocery store|stable|department stores|sex shop,department stores
"The man passed out from drinking alcohol , what did his brain suffer from ?",get pregnant|throwing up|tumor|toxicity|frequent urination,toxicity
"The two parties could neither confirm nor compromise on anything , they were in a what ?",question|contradict|deny|asking|dispute,dispute
What would you do to numbers that are positive integers to get a smaller result ?,written down|added up|start number game|divided|multiplied,divided
If you break someone 's nose while wrestling what will come out of it ?,erections|wins|bruises|aches and pains|blood,blood
Bill did not revere the holy man but he also did n't disdain him . Bill had what for the man ?,reverence|honor|admire|respect|thankfulness,respect
"She put cozy chairs in all the nooks and crannies , she wanted people to spend time reading and browsing her what ?",conversation|friend 's house|race track|building|bookstore,bookstore
"If a student is staring at the ceiling while bored , where are they likely to be ?",most architectural structures|loft|house|temple|classroom,classroom
Where are prepared mushrooms purchased ?,refrigerator|ground|grocery store|pizza|forest,grocery store
Where might a bear take trash ?,dumpster|state park|dustbin|a recycling bin|container,state park
When John turned on the light he saw a severed gazelle head . Where was John ?,ball gown|zoo|ivory coast|trophy room|kalahari desert,trophy room
"If somebody had a great love of music , they probably do what in the car ?",sing|play piano|attend classical concert|listen to radio|play violin,listen to radio
"While chatting with friends for hours , what did the formerly lonely man feel ?",happiness|tiredness|communication|agreement|answers,happiness
Where might a fluffy chair be found ?,living room|desk|office|porch|fluffy house,living room
When starting a fire near oxygen what can happen ?,warmth|chaos|unpredictable|disaster|explosion,explosion
"After killing the animal , what was the animal doing ?",dies|dying|not living|grief|suicide,not living
Where is trash emptied from often ?,state park|garbage dump|dumpster|subway|broom closet,dumpster
"Billy thought that he was smart , but many of his attitudes did n't were very regressive . How might you describe him ?",backward|ignorant|garish|intelligent|annoying,backward
Where do people store cars when running errands ?,at home|freeway|race track|parking lot|car show,parking lot
"If I had more than one steel pen ( e.g . 100,000 ) , where would I store it ?",hand|warehouse|tv stand|back of farm|desk drawer,warehouse
"The teacher was explaining the mammoth and the time it lived , he used terms foreign to the students to explain this such as what ?",pleistocene|museum of natural history|smithsonian institution|antarctica|old times,pleistocene
"If I wanted to find out the hours that Marmot was open , I might look where ?",hiding place|ocean|high mountains|north america|yellow pages,yellow pages
"The back courtyard was common feature of every house in the neighborhood , where could they be found ?",palace|poor suburbs|suburbs|country estate|large house,suburbs
Where do cows beef rank first in the country ?,switzerland|tennessee|stable|city|ranch,tennessee
John is bringing suit against Seth . This problem has straight there relationship . What might be increasing between them ?,tensions|going to court|resentment|verdict|civility,tensions
Getting a gift you wanted for you birthday will cause what state ?,disappointment|angry|then have|being happy|headaches,being happy
Dan loved playing chess but he just could n't anymore . He had been debilitated by what ?,boredom|humility|arthritis|frustration|headaches,headaches
James picked glass walls because they let more light into the room . Why did they let light in ?,inventive|half empty|recyclable|clear|very fragile,clear
"It could have been a beautiful day , but what did the overcast sky do to the color ?",bee utiful|ugly|dull|plain|wet,dull
"Sam treasured his freedom . When he became a POW , he tried to escape from what ?",communism|oppression|slavery|bad marriage|captivity,captivity
What do fish have to aid in oxygen exchange ?,gills|bones|tail|no legs|see work,gills
After procreating what ca n't some people handle that makes them turn to the government ?,triplets|having children|added responsibilities|quintuplets|large family,added responsibilities
John rented a hotel room while on a business trip . It was a a company sponsored event . Where might it have been ?,convention center .|business interviews|michigan|resort|city,resort
Where would you find an entrance hall that is used by a single family ?,person|large building|school|house|mansion,house
"The guests were soon to arrive , she carefully arranged the cookies and set them out on a what ?",jar|house|plate|mouth|hubcap,plate
"Sean made a mistake on the test , but it was n't an accident . Why did he do it ?",torment|success|correction|correct answer|on purpose,on purpose
What is required when someone is typing ?,think|nice keyboard|digital dexterity|speed|pressing keys,pressing keys
Where are human nerves found ?,possum|person 's body|animal|organism|fingertips,person's body
"If a human is contemplating something , what are they in a state of ?",friend 's house|tranquility|place of work|deep thought|school,deep thought
What do people do in the place that jellyfish live ?,swim|encyclopedia|jungle|surf|pacific ocean,surf
Where is toothpaste likely to be ?,bathroom|medicine cabinet|sink|the kitchen|mouth,bathroom
"Though the first cup of hot brew was costly you got a free refill , customers really liked the little what ?",restaurant|seven eleven store|coffee shop|cup|bar,coffee shop
Where do people who use a puck for living go at the end of their work day ?,locker room|desert|ice hockey game|sporting goods store|hockey rink,locker room
Danny sealed the box and wrote the address on it . Then he took it where ?,warehouse|closet|post office|street|garage,post office
"Jim never stopped talking , at what rate did he talk ?",continually|constantly|always forever|always|all day,constantly
Where do young people read about weasels ?,songs|corn fields|children 's story|animated film|forrest,children's story
"John put salt on his salad . Mary suggested that he should spritz what on it , instead ?",peppers|black pepper|vinegar|cure meat|adding flavor,vinegar
What do lizards climb up ?,stream bed|great outdoors|plane|garden|rock wall,rock wall
Where would people go after they pick some food to buy in a store ?,apartment|bus depot|neighbor 's house|restroom|end of line,end of line
The mom knew she would need to do another wash as she watched her children playing in the rain and what ?,getting wet|getting dirty|being dirty|get messy|get dirty,getting dirty
Where would you get a map that shows locations that can only be walked to ?,cafeteria|classroom|truck stop|amusement park|gas station,amusement park
Where would you play a trumpet and have to walk the entire time ?,music store|music shop|drill team|brass band|marching band,marching band
"After getting drunk people could n't understand him , it was because of his what ?",lower standards|slurred speech|death|hangover|falling down,slurred speech
How can jumping rope effect above your shoulders ?,aerobic|exercising|smiling|pleasure|sweating,smiling
What do people feel when they see large guard dogs ?,anxious|fleas|found outside|frightening|faithful,frightening
Dreaming scary things is likely to lead to waking up with a sense of this ?,sleepwalking|might awaken|fear|nightmares|hungry,fear
What is a negative effect of creating art ?,communication|pride|pleasure|controversy|recognition,controversy
"The game had all sorts of spaces , like chance and what ?",sure thing|skill|for sure|community chest|bingo,community chest
When someone does n't have beauty they have ?,ugly|beast|waterfall|waterfall|ugliness,ugliness
What would use a classical stringed instrument ?,concert|music store|string quartet|rock band|barbershop,string quartet
If I want to listen to the movie what do I need to do ?,able to hear|pay attention|close eyes|shut up|very quiet,shut up
How did the mother feel about going somewhere and getting a whole new house to decorate ?,getting there|excitement|movement|anticipation|expense,excitement
Where in town could you find most banks ?,main street|city|financial center|subway station|grocery store,main street
"If you yell when a person starts to go in another direction , what are they likely to do ?",thank god|turn around|work hard|walk away|do a backflip,turn around
The mixer felt like he was a NASA engineer in the control room every time he worked with a band at his what ?,factory|airbase|recording studio|garage|nuclear plant,recording studio
What could happen if someone is n't playing basketball carefully ?,lose|knee injury|having fun|sweating|pain,knee injury
What building in Washington D.C. has the most books ?,suitcase|library of congress|presidential bathroom|synagogue|backpack,library of congress
"Doing housework is hard , what can that lead to ?",boredom|arguments|exhaustion|magic powers|headache,exhaustion
What do most birds have the ability to do ?,beak|ability to fly|ability to fly|wings|learn to fly,ability to fly
"If a lawyer had to explain committing perjury , they might explain it as simply telling what ?",guilt|testify|commit crime|joining a jury|lies,lies
"An atheist was asked what happens after dying , what was his response ?",unable to work|born again|no longer exist|would cease to exist|body decays,no longer exist
What happens after an extended amount of living for a person ?,getting old|palpitations|death|perspiration|make friends,getting old
The child dreaded fall and having to what ?,eat vegetables|go to school|have sex|eat vegetables|clean room,go to school
"A cow farm has quite the smell , that 's why they tend to be located in a remote what ?",corral|nursery rhyme|northern california|rural area|barnyard,rural area
what does someone start playing guitar to do ?,listening to music|making music|arthritis|obesity|singing,making music
What is a hand ?,body part|foot|handglide|feet|help,body part
"If there is something you have to accomplish in a short amount of time , how could you be successful ?",make haste|make trouble|make lunch|make war|make progress,make haste
What is the first thing two people do when they feel an attraction to each other ?,flirt|love else|love another|hug|kiss,flirt
"She was the youngest and always got stuck in the middle seat , she never got the what of a bench seat ?",left right|outsides|window|extremes|outer,outsides
"Where can you buy crab , shrimp , and fish dinner across the U.S. ?",tidepools|stew pot|red lobster|dennys|boss 's office,red lobster
What is the likely end of bringing suit ?,tensions|randomness|going to court|swimming|ruling,ruling
Where are you unlikely to see clouds ?,top of mountain|inside of a house|ground level|air|sky,ground level
"The freeway had signs in miles instead of kilometers , where was it located ?",india|america|countryside|california|large city,america
Friday was n't in the mood to be answering questions . After a ten hour interrogation he was what ?,getting tired|sharing information|rich|teaching|boredom,getting tired
Joe lost his left cymbal . He needs it before practice . Where would he go to get a new one ?,marching band|drumkit|music store|symphony orchestra|grocery store,music store
James did n't like bringing his suit to court . He did n't wear it when he heard what ?,resentment|crime|tensions|going to court|verdict,verdict
Where do you get a needle for a routine checkup ?,sewing basket|eat cake|doctor 's office|hospital|haystack,doctor's office
"The bald eagle made a nest in a tree surrounded by others , it made it 's home in a vast what ?",u.s|forrest|grand canyon|park|canada,forrest
What part of the apple is typically left behind after eating ?,grocery store|peel|seeds inside|farmers market|stems,stems
"I just met someone , why would they say hello ?",smile|shake hands|greet|goodbye|say hello,greet
Where can you buy eggs along side many other types of food ?,egg carton|supermarket|refridgerator|breakfast|chicken coop,supermarket
"The person was quite sure how to express his thought with proper language , he did n't know how to what ?",study literature|word sentence|own animal|thank god|think,word sentence
What is the opposite of an odd number ?,expected|even|irregular|habitual|regular,even
"the dog brought a stick back to the house , the man could tell it came from a small area nearby , where was it likely from ?",grass|forest|woods|yard|outside,woods
Where is one likely to find an old newspaper ?,library|lawn|front door|jail|subway,library
Where can travellers pull off the road to stretch their legs ?,rest area|airport|train station|come home|bus depot,rest area
Where does a person who is a weasel tend to be employed ?,children 's song|parks|used car lot|chicken coop|washington d.c,used car lot
What is generally a person 's main goal when they spend time learning about a subject ?,change|gain knowledge|elation|headache|boredom,gain knowledge
What is usually next to a door ?,apartment|office|wall|building|kitchen,wall
What might a fish avoid for safety ?,stream|end of line|market|pond|boat,boat
Joe wanted to own a neighborhood barbershop but he had trouble with city zoning laws . What might the city have required of his shop that was a problem ?,flush|razor|commercial area|city|water,commercial area
"He left camp following the river down below , his partnered remained where ?",upstairs|inside|over|upstream|above,upstream
What would someone be doing if he or she is killing ?,commit crime|laughing|smoke|feel anger|die,commit crime
Where could you go to spend money ?,supermarket|car show|water fountain|bank vault|art show,art show
"The executives talked strategy walking through the lobby , what were they likely discussing ?",opera|office building|receptionist|business plan|game plan,business plan
Where is the last place food is before being eaten ?,kitchen|plate|dinning|stomach|pantry,plate
You would expect to find the reception desk in what part of a business ?,building|lobby|office park|motel|outside,lobby
He was very critical of the execution of his team while doing what with the opponents ?,trivial|minor|praising|eulogistic|unimportant,praising
Where does a lounge lizard likes to hang out ?,jazz club|dessert|tropical rainforest|mountain|rocky places,jazz club
We all need to have food to live but what is the cheapest way to get it ?,steal|purchase food from webvan.com|eat|work for|grow food,grow food
If you do not believe in something because you question it you have what ?,doubt|deny|depression|disbelief|skepticism,doubt
"Bill has a desire to learn , but does n't personally know any teacher , where should he go ?",memorize|understand better|attend school|read book|church,attend school
Where is a mobile heat source ?,bedroom|coal or wood|solar energy|fire|car,car
Where would you go if you wanted to buy an apple and some ice cream ?,refrigerator|horses mouth|grocery store|desert|greengrocer,grocery store
"If they were n't sightseeing , why were they diving through the cave ?",wetness|get wet|exhilaration|going somewhere|to get to the other side,going somewhere
Sarah went to a genuine Western streak house . Where might she have been ?,mexico|japan|outback|new york|texas,texas
Where would one find a snake in a swamp ?,oregon|mud|tropical forest|pet store|louisiana,louisiana
"James sat down and looked at the menu , then he placed an order . Where might he be ?",shop|cafe|internet sites|table|advertisement,cafe
"Some horses are white others are black , but many are this color which might lead some people to think their milk would taste like chocolate ?",big but gentle|kept in stables|cuddly|brown|running in herd,brown
"If my heifer has a certain attitude , what state might she be from ?",new hampshire|texas|the country|barnyard|county fair,texas
The area between oceans and continents is very ?,bridges|wide|salt water in|wet|very deep,wide
"The therapist said they needed to work on what , and that just talking to one another is the first step ?",persuaded|communication|laughing|learn|friendship,communication
Where does food get digested ?,stomach|pantry|inside|kitchen|plate,stomach
Where are you likely to find the freshest tomatoes ?,pizza|squashed|refrigerator|market|on pizza,market
After standing in line all day what is likely to happen ?,learn a new way to bake bread|order|tiredness|get tired|fidgeting,get tired
james wanted to fight inflation because he did n't like losing value when he did what ?,more money|save money|can|costs money|pay less,save money
"The fox saw itself on a piece of paper wearing silly clothes , what was the fox looking at ?",hen house|in a cornfield|storybook|natural habitat|dense forest,storybook
"He felt pride when he looked at his new mile time , what did he do ?",paint house|compete against|tell many people about|improve yourself|pass class,improve yourself
Nate washed his personal silverware and put it in a drawer . Where might that drawer be ?,bedroom|kitchen|table|restaurant|cupboard,kitchen
what does having sex without protection lead to ?,sexually transmitted diseases|making babies|bliss|aids|unwanted pregnancy,unwanted pregnancy
"The bookshop specializes in course texts , where is it located ?",mall|sea shore|shopping center|student union|department store,student union
Where would you likely find a laser in a university ?,cd players|laboratory|aircraft|hospital|cdrom drive,laboratory
Having to fight inflation brings a lot of this sentiment to the public ?,poverty|higher interest rates|saving money|not very much|dissatisfaction,dissatisfaction
What can you do if you 're fiddling on violin ?,dancing about|bluegrass music|make music|playing|drop,make music
An evening of remembering often leads to what ?,knowledge|remembrance|nostalgia|problems|knowing,nostalgia
If you are getting drunk you will need to drink what ?,booze|ethanol|sauce|consumption of alcohol|drinking alcohol,booze
James installed his new curtains to keep the light from shinning on his television . Where is James probably hanging his curtains ?,show|grocery store|department store|house|theater,house
"The weather was nice , but Sean did n't count on that . He knew it could do what ?",look beautiful|storm for days|change quickly|start raining|surprise us,change quickly
"If you do not have a bean , where would you go to get one ?",cooking pot|coffee|beantown|neighbor|food store,food store
What type of exertion do you utilize when hiking ?,mountain|physical exertion|adventure|exercise|shin splints,physical exertion
They decided to employ prisoners to dig lines to help fight the what ?,fire|work for|sack|lay off|make redundant,fire
"The company wanted to hire someone with special needs , their job was to collect the cardboard in the what ?",box factory|packaging materials|recycle bin|warehouse|bathroom,warehouse
"A student takes an unpaid membership , why on Earth would he do that ?",gain experience|taking notes|listen carefully|study book|capitalist exploitation,gain experience
"If you like learning about science , you are all ?",frustration|experiment|invent|smiles|gain information,smiles
What might I use if I want to give a grape as a gift ?,kitchen|bowl of fruit|box|field|fruit basket,fruit basket
Where would you find an expensive lantern ?,a collector 's house|dark place|house|antique shop|street,antique shop
"The man and the woman likened their experience to police brutality . But , really , they were just unable to do what regarding reality and lies ?",differentiate|hate|discriminate|contrast|distinguish,distinguish
What would a sick person do to recover ?,take medicine|throw up|exercise|battle cancer|get better,take medicine
"John was was looking for a shirt , so he pulled open this . What did John pull open ?",closet|chest|drawer|dresser|suitcase,drawer
"The automaton wanted to save money like normal humans , what did it need to learn about ?",museum|banking|science fiction plot|lab|computer work,banking
James 's first priority was finding information . He wanted to know for his own what ?,understanding of|exciting|thoughts|gratification|hatred,gratification
Where can a mouse be found in a box ?,at the store|computer store|cupboard|pantry|own home,computer store
What could you use to play music ?,listen|skate|fiddle|have fun|play piano,fiddle
Sometimes it seems like government wants to control anything and what ?,washington d.c|everything|all of us|country|capitol building,everything
"What is typical of a person with blemish free , flowing skin ?",finger|makeup|body|own family|good health,good health
"Needlepoint requires many accessories , what holds the work taut ?",sewing|collection of folk art|livingroom|frame|bathroom,frame
What does a policeman patrol ?,street|coffee|freeway|donut shop|police station,street
"They were having friends stay at their home , they apologized for only having a sofa bed in the what ?",basement|hotel|garage|guest room|horseradish,guest room
Sarah could n't make the afternoon meeting and had to reschedule . She promised to .skip dinner and go to sleep earlier that night so that she could make it . When might the meeting have been rescheduled to ?,before noon|after|morning|evening|before lunch,morning
How can the shape of wood be changed ?,nailed|grind|carved|polished|warp,carved
From where would you take a magazine home after paying ?,bookstore|library|bed|shop|airport,shop
It was a ridiculous answer to a simple question . The professor expected something loss convoluted and more what ?,solemn|straightforward|pensive|somber|serious,straightforward
What might learning about science cause in someone ?,scientific knowledge|intimidation|boring|become educated|sense of wonder,sense of wonder
"Cats are looking longingly at an aquarium , what are they looking to do ?",like heat|play|eating fish|drink water|come to dinner,eating fish
Where would someone visit a monument to a deceased loved one ?,sit chat|municipal park|public gardens|cemetary|state park,cemetary
Where would you find people sleeping in a chair waiting for a vehicle to arrive ?,airport|floor|bedroom|desk|bus station,airport
What can be the end result of waging war ?,people dying|heartache|killing people|evil|suffering,people dying
What is the one thing you can not do if you 're on the move ?,sit still|stationary|running|stand still|stay still,stand still
"While some people prefer to lie , others do prefer to bluntly what ?",amount to nothing|talk louder|talking loudly|talk to each other|state facts,state facts
Where would I go to see the most brands of oboe ?,orchestra|case|guitar center|band|music store,music store
Where could you find a blowfish in a zoo ?,jungle|sea water|cuba|atlantic ocean|lake,cuba
Where would you put a sealed drink if you want to bring it with you ?,cup|cabinet|cardboard box|stumble|backpack,backpack
What have you done if something you do makes life harder for someone ?,baked biscuits|make progress|make haste|take time|make trouble,make trouble
"Despite reports of bad weather , the wedding day was gorgeous , what did the weather do ?",surprise us|thunderstorm|occur here|change quickly|look beautiful,surprise us
What place in the US has a lot of mines ?,ground|cambodia|mine craft game|pennsylvania|mountain,pennsylvania
Children can become obsessed . Charlie focused on reproducing what made him feel good . He wanted to squeeze all the what out of every experience .,children|overpopulation|birth|fun|larger family,fun
Billy shoplifted a cheap watch . Where might he have grabbed it from ?,jewellers|guard tower|department store|police station|bedroom drawer,department store
Where can I ride my bicycle in order to take graduate classes ?,bike path|schoolyard|netherlands|street|university,university
Where do you get a contraceptive device ?,person|pharmacy|drug store|an adult squirrel|bedroom,drug store
"The idiots in the front row would not stop banging on the glass , there 's always at least one of them at a what ?",bar|sporting event|internet cafe|garage sale|hockey game,hockey game
"He promised he would fight enemy over the transgression , even if it was to the what ?",victory|casualties|death|eat|dying,death
Where can customers shop outside ?,mall|market|the ocean|found in restaurant|bookstore,market
What would you experience after awaking from a nightmare ?,headache|get up|happiness|discomfort|shock,shock
Where can you find a pretty flower in the ground ?,shelf|windowsill|park|in the snow|vase,park
"They are chatting with friends about old memories , it wo n't be long before somebody what ?",exchanging information|will laugh|agreement|staring|social approval,will laugh
"The comforter was a favorite for cuddling in front of the TV , where did the family put it ?",outside|washing machine|cedar chest|bedroom|livingroom,livingroom
What do you have to do in a boat to bring home fish ?,go to market|reconsider|buy vegetable|go fishing|buy aquarium first,go fishing
What would use an account book ?,desk drawer|purse|bank|keep accounts|keep track of emails,bank
"The poet was being discussed amoung teenagers using Socratic dialogue , where was this happening ?",unemployment line|library|home|classroom|university,classroom
"Government , planned cities , workers , institutions , technology and record keeping are characteristics of what among human populations ?",country|civilization|citizen|canada|city,civilization
"What does Discovery have a number of , starring a shark ?",open ocean|gulf of mexico|tornado|television program|coral reef,television program
Where can one find a singing human ?,band|aircraft|outer-space|space shuttle|factory,band
What did I do that has made me on the ground ?,falling down|peace|forgetfulness|death|injury,falling down
What is likely to happen to a person in Washington State found guilty of stabbing someone to death ?,imprisonment|capital punishment|killing|hurt|enlightenment,imprisonment
John loved to pretend . He would waste many hours doing what ?,learn to act|have imagination|day dream|have fun with|acting,day dream
The tourist was probably most happy to capture pictures of snow on what ?,canada|roof|mountains|ground|ground,mountains
What often happens to the remembering of people who are stressed ?,knowledge|problems|difficult|nostalgia|depression,problems
"The bald eagle avoided big cities , what kinds of place did he prefer to be ?",canada|maine|countryside|united states of america|florida,countryside
"Lilly loved peace and quiet , but she could n't find any where she lived . She took drastic measures and went somewhere for solitude . Where did she go ?",library|home|top of mountain|sea|grocery,sea
"It was n't for a lack of effort they did n't finish the job , they just did n't have what supplies ?",possessing|plethora|enough|satisfaction|availability,enough
James crushed his paper coffee cup and then left it in its proper place . Where might he have left it ?,coffee|desk|starbucks|cupboard|trash,trash
"They teased him relentlessly for being a girl , this all started when he was caught in the locker room bathroom sitting down to do what ?",knit|pee|relaxing|watch tv|talk,pee
Minerals can be found on what third rock from the sun ?,nebraska|multivitamin|michigan|ore|earth,earth
Where are people likely to sing ?,apartment|supermarket|train station|opera|conference,opera
"He was scared of skiing after the accident , what did he want to avoid in general ?",broken spirit|healthy body|broken bones|cold nose|broken legs,broken bones
What is waging war often considered to be ?,suffering|killing people|people dying|evil|a party,evil
"The science major was planning on digging in the earth one day , his favorite class was what ?",religion|faith|health|geography|history studies,geography
"The human wanted to give a bone as a reward , where did he put it ?",skeleton|human body|dog 's mouth|fresh fish|barn,dog's mouth
Lilly wanted to go about procreating but what no desire to have sex with a man . So she went to a clinic and bought something . What did she buy ?,partner|in bed|orgasm|cum|naked,cum
What is the opposite of little ?,least|much|bog|lot of|big,big
Jane read all of the related literature before she went into the room to speak with the others . Where did she keep her literature ?,meeting|conference|public library|bag|shelf,shelf
"Everyone wants all sorts of different things in life , but the one common thing they all bring is a little bit of what ?",happiness|minimize own suffering|victory in war|understood|sadness,happiness
"While the statistician thought the anomaly was important , what did the contrarian demographer think ?",trivial|negligible|slight|unimportant|petty,negligible
"If a person wants to sort a pile of stuff , they must start by what ?",control computer|go on vacation|cross street|gain weight|separate things,separate things
"I have some food that I want to eat right now , where would I put it ?",cup|kitchen|pantry|jar|plate,plate
"When people have money wand want things , what do they tend to do ?",sell items|tell truth|learn from each other|own objects|selling food,own objects
The hamburgers were flame-broiled so where were they served ?,mcdonald|cooked on grill|burger king|fast food restaurant|hockey game,burger king
How would you start living life with someone else ?,make love|get married|gone to jail|have children|learning,get married
I decided that I was going public with my amazing new medication . It has the power to relieve symptoms . So it can take away all of your what ?,shock|money|pain|problems|controversy,pain
"There are laws concerning safety , therefore a fire extinguisher must be kept in every what ?",most businesses|house|public building|vehicle|chemistry lab,public building
"The doctor told the man to eat vegetables , he promised it would help him what ?",good for|wash|starve|lose weight|fibre,lose weight
Name an adjective that can mean the opposite of normal .,unconventional|reverse|strange|uncommon|ill,unconventional
"The knob of the kitchen drawer would n't stay tightened , so he went to buy a new screw where ?",control panel|television|opening mailbox|supermarket|hardware store,hardware store
"The living do many things that the dead do not , but one is most important . What do the living do that the dead do not ?",talk|sometimes bad|pollution|happiness|have experiences,have experiences
"James was n't much of a leader , because he had nothing to lead . And a leader without something to lead , no matter how skilled , is useless . What did James need ?",battle|army|company|organization|school,army
A virus causes the flu and the common what ?,cold|disease|infection|mutate|make person sick,cold
Some monkeys originated in this place that has borders and many people .,kentucky|rain forest|treetops|research laboratory|south africa,south africa
Where would you hit a ball with a stick into other balls ?,child 's hand|pool table|street|toy box|soccer field,pool table
What do you fit a piece with another piece ?,puzzle box|chess game|plate|jigsaw puzzle|plate,jigsaw puzzle
Studying too intensely can cause what problem ?,understand themselves|understanding|gathering information|knowing more|headaches,headaches
Who does the teacher speak with most during the week ?,school children|teach pupils|work in school|other teachers|time test,school children
Where would you put a writing instrument if you are a woman and want to bring it with you ?,stationery store|ball stopped|pocket|purse|classroom,purse
"Bill noticed that his hands could do many things . He was thirsty , so he used his hands to do what ?",catch balls|articulate|cup water|soft|pick up cup,cup water
"The pioneer went to the general store for food preservation supplies , what was he looking for ?",barrels|checkers|baking soda|salt|water,salt
What has happened if you agree with someone ?,asking them did we just become best friends ?|nodding|become closer|concordance|shake hands,concordance
"The person was there to study the apes , she would have to live out the in what for months ?",isolation|mistrust|make mistakes|executed|desert,isolation
James is a customer at a restaurant . The restaurant is very busy and James is frustrated . What might he be doing ?,raise hand|wait in line|take number|pay bills|order dinner,wait in line
"He was serious and pragmatic , so why did he drive his car ?",transportation|car crash|death|sleepy|stress,transportation
"He took a toll road and ended up in a state he could n't spell , it was probably which one ?",new jersey|new york|minnesota|eastern united states|connecticut,connecticut
What is the goal for a student to improve in ?,kindergarten class|kitchen|class room|every aspect of life|library,every aspect of life
If you see a horrible sight at an area of elevation what may you feel ?,disgust|diminishment|jealous|depression|reduction,disgust
Where is the best place to make food ?,kitchen|supermarket|table|stomach|restaurant,kitchen
Where can someone store extra sheets of paper ?,printer|box|cutting and folding|cabinet|office,box
"She had trouble remembering her happy wedding day , but when she did , what did she experience ?",hunger|knowing|depression|knowledge|pleasure,pleasure
What did Van Gogh feel when he found his long lost painting ?,new look|physical work|new color|great relief|slashes,great relief
"The person saw the tomatoes were dying , what did he do next ?",feel stupid|eat fruit|thank god|water garden|run,water garden
"He chuckled as he knocked on the door , here he was actually needing to borrow a cup of sugar from where ?",neighbor 's house|office|theater|gas station|wall,neighbor's house
Where can a human find body coverings ?,phone booth|clothing store|workplace|swimming pool|closets,clothing store
What would one like to do with friends when there is no agenda ?,hang out|talking about|bond with each other|meet for lunch|side with,hang out
"Even if two people do n't experience attraction when they meet , over time they can grow to do what ?",love others|love else|flirt|love another|kiss,love another
What is usually a beautiful sound ?,concert hall|chainsaw|movie|mouth|music,music
What can you see when you use television but is not needed to use television ?,plug in|kill|find remote control|remote|open eyes,kill
If the though of performing makes you anxious what do you suffer from ?,being appreciated|get attention|terror|stage fright|fear,stage fright
Who collects many a drop of blood ?,mosquito|human body|needle|slaughter house|blood bank,blood bank
Where would you find a dictionary near young people getting lessons ?,shelf|friend 's house|table|library|classroom,classroom
"Susan was a mean person . But even so , she could show what ?",mean cruel|friendly|kindness|nice|generous,kindness
Where could you find a bed that has been used by many people ?,mattress store|rest area|hotel room|apartment|loft,hotel room
"James lost hs return ticket during his vacation . He was very frustrated and could n't get a replacement . Because of this , he missed what ?",tickets|plane|suitcase|pocket|airport,plane
"If something 's weight is n't light , what is it ?",crucial|darkness|cumbersome|heavy|darkness,heavy
Where can you buy an electric fan ?,sauna|home|closet|hardware store|computer,hardware store
Where can you get a night table to take home ?,hallway|homes|junk drawer|hotel|furniture store,furniture store
You can put what next to a side chair to make a nice place to read and drink coffee ?,office|library|table|building|coffee shop,table
Where would you use a changing room before gym ?,gym|clothing store|change baby 's diaper|department store|schools,schools
Marcy could n't cry . She did n't want her parents to know that she was sad . She hid her sobs by doing what ?,shed tears|be happy|laughing|smile|talk,laughing
Joe was in California for vacation and saw a marmot What specific place might he be ?,great outdoors|mountainous region|north america|los angeles|sierra nevada mountains,sierra nevada mountains
"If I lived in a small village outside a city , which general geographic area would this be ?",africa|countryside|the mountains|south american country|ohio,countryside
Where do you go to see a religious statue ?,church|new york city|museum|cathedral|central park,church
Where would you find many tables of silverware rolled into nice displayed napkins ?,silver|park|table|cupboard|restaurant,restaurant
Where did you try many escalators ?,motion|bringing people up|mall|vacuum bay|department store,mall
"My cat really dislikes many things , what does he dislike the most ?",eat vegetables|litterbox|chased by dog|washed|bathed,bathed
A post office is always located in what kind of structure ?,center of town|town or city|deliveries|building|business district,building
Where do you bring your flight bag ?,aircraft|aeroplane|airplane|airport|on you lap,airport
"Ones and zeroes are how computers do everything , you could say they simply what ?",addition|do work|do arithmetic|multitask|share files,do arithmetic
While attending a lecture what should be done in the auditorium ?,take notes|listening|fall asleep|falling asleep|learning,take notes
"He was running from the assailant , what is his purpose for running ?",accidents|moving fast|injuries|shortness of breath|exercise,moving fast
"The person was frustrated when she could n't find what she was looking for online , what did she desire ?",food and water|acknowledgment|freedom of information|information|freedom of expression,freedom of information
The high teenager was having trouble grasping that the world was always in motion even if he laid there what ?,frozen|stillness|being still|standing still|stopped,being still
Despite his disdain for the man 's action the bravery he showed was what worthy ?,admire|loving|adore|revere|honor,admire
Where are all ferret found before they are captured ?,hutch|tree house|north america|rocky mountains|out of doors,out of doors
"Sitting down was a wobbly affair , it seem all four what were uneven ?",sit on|flatulence|legs|chair|comfort,legs
What is necessary for bathing ?,suntan lotion|reading newspaper|using soap|cleanliness|slip and fall,using soap
Where are trees likely to be protected ?,orchard|at the tree store .|countryside|forest|state park,state park
"He had to try to make the call in the middle of the night , it was hard to communicate using only a what ?",communicating|response|yelling|hanging up|whisper,whisper
If a person strives for happier circumstances in what is it called ?,american dream|better life|complimented|headache|own house,american dream
What mood sets in when someone is going to work with a boss they dislike ?,boredom|teamwork|stress|anger|exhaustion,anger
who uses a contraceptive device ?,pharmacy|bedroom|person|men|drug store,person
"Bobby was looking to be farmland because he wanted to get away from the city . He did n't care where , just so long as it was in what ?",illinois|countryside|south dakota|michigan|midwest,countryside
